Variable_Code,Description
ITYP,"Peak rate estimate code: Types I and IA represent the Pacific maritime climate with wet winters and dry summers. Type III represents Gulf of Mexico and Atlantic coastal areas where tropical storms bring large 24-hour rainfall amounts. Type II represents the rest of the country. For more precise distribution boundaries in a state having more than one type, contact the SCS State Conservation Engineer (SCS 1986). Allowed values: 0 For modified rational EQ peak rate estimate, >0 For SCS TR55 peak rate estimate, 1 For type I rainfall pattern, 2 For type IA rainfall pattern, 3 For type II rainfall pattern, 4 For type III rainfall pattern"
ISTA,"Static soil profile: This code is used to allow EPIC to estimate soil erosion but not change the soil profile other than readily available nutrients and water. With this option set at 1, the subroutines for the estimation of soil erosion are not called during the simulation and the soil characteristics related to the organic carbon and nitrogen content are set to the initial values at the end of each year. In this way, it is possible to simulate multiple years of weather on the same soil and estimate erosion under alternative weathers. Allowed values: 0 For normal erosion soil profile, 1 For static soil profile"
IHUS,"Automatic heat unit scheduling: Based on potential heat units (PHU) In the first year of the run, all operations are assigned a heat unit fraction based on the total number of heat units input at planting and dates assigned to each operation. Calculation of heat units is based on monthly weather statistics. In the following years all operations will occur based on the heat unit schedule assigned to them. This can be used to help adjust operations to the weather (temperatures) from year to year. Operations occurring from planting to harvest are based on heat units set at planting. Operations occurring before planting are based on total annual heat units, which are calculated by the model. Allowed values: 0 Normal operation, 1 Automatic heat unit schedule (Number of growing degree units needed for crop to reach maturity (PHU) must be input at planting)"
IRRS,"Simulation of root respiration:  Activates the simulation of root respiration in the denitrification subroutine NDNITCI. This option works only with the Cesar Izaurralde’s denitrification method (IDN = 3 or IDN = 4). Allowed values: 0 Root respiration calculated in NDNITCI, 1 Root respiration not considered in NDINITCI"
NVCN,"Non-varying CN-CN2 used: Allowed values: 0 Variable daily CN nonlinear CN/SW with depth soil water weighting (Use Parm 81 to adjust), 1 Variable daily CN nonlinear CN/SW without depth weighting, 2 Variable daily CN linear CN/SW no depth weighting, 3 Non-varying CN - CN2 used for all storms, 4 Variable daily CN SMI (soil moisture index)"
INFL0,"Runoff (Q) estimation methodology: Allowed values: 0 CN estimate of Q, 1 Green & Ampt (G&A) estimate of Q, Rainfall Exponential Distribution, Peak Rainfall Rate simulated, 2 G&A estimate of Q, Rainfall Exponential Distribution, Peak Rainfall Input, 3 G&A estimate of Q, Rainfall uniformly distributed, Peak RF Input"
MASP,"Pesticide in output report: Allowed values: -1 For mass only no pesticide in .OUT file, 0 For mass only, pesticides in .OUT file, 1 For pesticide and nutrient output in mass and concentration"
LBP,"Soluble phosphorus runoff estimate equation: Allowed values: 0 For soluble phosphorus runoff estimate using GLEAMS pesticide equation, 1 For modified nonlinear approach"
NSTP,"Real time day of year (Columns 77-80) Day of year selected to be the stopping point up until which weather, crop growth, etc. are known. The remainder of the year is projected.(Range: 0 to 365)"
IGMX,"Number of times generator seeds are initialized for a site (Range: 1 to 100)."
IERT,"Enrichment Ratio Method. Sets the method to simulate organic material lost in runoff. Allowed values: 0 for EPIC enrichment ratio method, 1 for GLEAMS enrichment ratio method."
ICG,"Crop growth biomass conversion method. Allowed values: 0 for traditional EPIC radiation to biomass conversion, 1 for new experimental water-use to biomass conversion. NOTE: If the water-use to biomass approach is selected, the value for variable WUB in EPIC in the plant list file (CROPCOM.DAT) must be provided."
LMS,"Code for liming operation. Enables simulation of agricultural limestone application to increase soil pH and/or reduce aluminum saturation. Allowed values: 0 for automatic lime application as needed to prevent soil acidification, 1 for no lime applied."
ICF,"C factor selector for erosion equation. Allowed values: 0 to use RUSLE C factor for all erosion equations, 1 to use EPIC C factor for all erosion equations except RUSLE."
ISW,"Field capacity and wilting point estimation method: ISW allows the user to select the method used to provide values for the soil water content at field capacity (FC) and wilting point (WP). Allowed values: 0 Dynamic FC and WP estimated with Rawls method. 1 Dynamic FC and WP estimated with Baumer method. 2 Dynamic FC and WP estimated with Rawls method starting with input data. FC and WP data must be provided in the soil file. 3 Dynamic FC and WP estimated with Baumer method starting with input data. FC and WP data must be provided in the soil file. 4 Static FC and WP estimated with Rawls method. FC and WP are estimated and kept constant for the entire simulation. 5 Static FC and WP estimated with Baumer method. FC and WP are estimated and kept constant for the entire simulation. 6 Static input FC and WP. Data provided in the soil files are kept constant for the entire simulation. 7 Dynamic FC and WP estimated with the nearest neighbor method. The input file SOIL35K.DAT must be provided. 8 Static FC and WP estimated with the nearest neighbor method. FC and WP are estimated and kept constant for the entire simulation. The input file SOIL35K.DAT must be provided. 9 Dynamic FC and WP estimated with the Behrman-Norfleet-Williams (BNW) method (Behrman, Norfleet, & Williams, 2016). 10 Static FC and WP estimated with the Behrman-Norfleet-Williams (BNW) method. FC and WP are estimated and kept constant for the entire simulation (Behrman et al., 2016)."
IRW,"Daily weather data usage option When set to zero, the model uses the daily weather input data as usual. If set to one, the model will use the weather station set in the first run for all the subsequent runs. Moreover, when going from one run to the next one, the weather data will be read continuously. For example, if for run 1 the user selects 2 years of simulation starting in 2001, the model will use weather data of the appropriate weather station (let’s call it station A). Data from 2001 for the first year and data from 2002 for the second year of simulation. If the subsequent run simulates a two-year period, data from station A will be used for this simulation and data from 2003 will be used for the first year of simulation and from 2004 for the second year of simulation.Allowed values: 0 For normal runs with daily weather input, 1 For continuous daily weather from run to run (no rewind)"
ICO2,"Atmospheric CO2 concentration: ICO2 allows to set the dynamic of the atmospheric CO2 concentration during the simulation. Allowed values: 0 For constant atmospheric CO2 concentration. CO2 concentration must be provided with variable CO20 or variable CO2X. 1 For dynamic atmospheric CO2 concentration. The initial CO2 concentration is calculated by EPIC and is increased linearly during the simulation. 2 For inputting the atmospheric CO2 concentration in the daily weather file. See the daily weather file section for more details."
NTV,"Nitrogen volatilization method: NTV allows to select the method used to simulate nitrogen volatilization. Allowed values: 0 Original EPIC nitrogen volatilization equations. 1 Revised nitrogen volatilization equations by C. Izaurralde."
ICOR,"Southern oscillation correction: If greater than zero, it sets the day of the year when the weather correction to simulate input monthly average values stops. Works only if multi-run option is activated. When activated, the values for temperature and precipitation in the WP1 file are corrected using the observed daily weather data used during the simulation. (Range: 0 – 365) 0 Normal run – no southern oscillation. >0 Day of the year when southern oscillation correction to simulate input monthly means stops."
IDN,"Denitrification method code: Selects the approach used to simulate the denitrification process. Allowed values: 1 Original EPIC denitrification approach. 2 Armen Kemanian’s denitrification approach. 3 Cesar Izaurralde’s denitrification approach (original DW) (R. C. Izaurralde et al., 2017). 4 Cesar Izaurralde’s denitrification approach (new DW) (R. C. Izaurralde et al., 2017)."
NUPC,"Nitrogen and Phosphorus plant uptake concentration code: Selects the approach used to estimate the optimal N and P plant concentration. Allowed values: 0 Smith curve. 1 S-curve."
IOX,"Oxygen – depth function code: Selects the method used to estimate the oxygen concentration in the soil. Allowed values: 0 For original EPIC oxygen/depth function. 1 For Armen Kemanian’s carbon/clay function. 2 For new oxygen ratio method."
IDI0,"Data directory: Selects from where to read the input data. Allowed values: 0 For reading data from the working directory. 1 For reading data from weather directory. 2 For reading data from working directory plus 3 other directories."
ISAT,"Saturated conductivity code: ISAT allows the user to select if the soil saturated conductivity is provided in the soil file or if it must be estimated by the model. Allowed values: 0 For reading saturated conductivity from the soil profile data. 1 For computing saturated conductivity with Rawls method."
IAZM,"Latitude source code: Allowed values: 0 For using input latitude for the field. 1 For computing equivalent latitude based on azimuth orientation of land slope."
IPAT,"Auto phosphorus fertilization code: Turn on or off the automatic application of P. Allowed values: 0 Turn off auto-phosphorus fertilization. 1 Turns auto-phosphorus fertilization on."
IEVI,"Photosynthetic Active Radiation (PAR) estimation approach: IEVI is used to select how the PAR is estimated during the simulation. Allowed values: 0 PAR driven by crop LAI development. 1 PAR driven by EVI from remote sensing. If IEVI is set equal to one, vegetation index (EVI) obtained from remote sensing must be input in the daily output file as eighth variable."
IPRK,"Soil water percolation method: IPRK allows the user to select the method to estimate the soil water percolation during the simulation. Allowed values: 0 For original EPIC approach. 1 For Variable Saturation Hydraulic Conductivity (VSHC) method (Doro et al., 2018)."
ICP,"Carbon/Nitrogen Mineralization Method: Selects the method used to simulate the soil organic carbon and nitrogen dynamics. Allowed values: 0 For the Phoenix approach (McGill, Hunt, Woodmansee, & Reuss, 1981). 1 For the Century approach (R. Izaurralde, Williams, McGill, Rosenberg, & Jakas, 2006)."
ISLT,"Soil temperature simulation method: Selects the approach used to simulate the soil temperature. For more information see (Doro et al., 2021). Allowed values: 0 For original EPIC cosine function (SOLT subroutine). 1 For enhanced cosine function (subroutine SOLT_eCOS). 2 For temperature transfer approach (subroutine SOLT_TT)."
RFN0,"Average concentration of nitrogen in rainfall (ppm): The average concentration of N in rainfall may vary slightly for different locations. However, since the rainfall N contribution is a relatively small component of the N cycle, a value of 0.8 ppm or mg N/liter is generally satisfactory. If site-specific information is available, the user is free to set the value appropriately. (Range: 0.50 to 1.50)"
CO20,"Carbon dioxide concentration in atmosphere (ppm): The amount of carbon dioxide in the atmosphere (ppm) used to begin the simulation. See variable ICO2 for atmospheric CO2 concentration options. (Range: 0 to 1000)"
CNO30,"Concentration of NO3-N in irrigation water (ppm): The amount of mineral nitrogen in irrigation water. (Range: 0 to 1000)"
CSLT,"Salt concentration in irrigation water (ppm): The amount of salt in irrigation water. For reference, the irrigation water is classified as low salinity (0-456 ppm), moderately salty (456-1425 ppm), salty (1425-2850 ppm), and very salty (>2850 ppm). (Range: 0 – ∞)"
PSTX,"Pest damage scaling factor: The factor scales the growth of pests (insects and diseases only) in terms of population growth. It ranges from 0 (no pest growth; pest damage function is shut off) to 10 (maximum pest growth). Under default conditions this parameter is set to 1.00 which produces only minimal pest growth and does not affect yield. This parameter works in conjunction with PARM(9), PARM(10), S-curve parameter 9 in the EPIC parameter file (PARM1102.DAT), and variable PST in the EPIC plant list file (CROPCOM.DAT). Pest damage function can be regulated from very mild (0.05-0.10) to very severe (1.00-10.00). (Range: 0 to 10)"
YWI,"Number years of maximum monthly 0.5-hour rainfall available: Can be obtained from the U.S. Department of Commerce (0 if WI is not imputed). Default setting: 10 (Range: 0 to 20)"
BTA,"Coefficient governing wet-dry probabilities given days of rain: Used to estimate wet-dry rainfall probabilities if information is only available for the average monthly number of wet days. Generally, the number of wet days is much more readily available than the wet-dry rainfall probabilities. A value of 0.75 for BTA usually gives satisfactory estimates of the wet-dry probabilities. May be left zero if daily rainfall is inputted. May be left zero if rainfall is generated and wet-dry probabilities are input. Default setting: 0.75 (Range: 0 to 1)"
EXPK,"Parameter used to modify exponential rainfall amount distribution: The modified exponential distribution is used to generate rainfall amounts if the standard deviation and skew coefficient are not available. An EXPK value of 1.3 gives satisfactory results in many locations. May be left 0.0 if unknown or if standard deviation of rainfall and skew coefficient for daily precipitation are input. Default setting: 1.3 (Range: 0 to 2)"
FL,"Field length (if wind erosion is to be considered) in kilometers: If the normal wind erosion calculation is to be utilized (Wind Erosion Adjustment Factor (ACW) = 1), field dimensions and orientation must be specified. This variable refers to the length of the field that is exposed to the wind. Without trees, FL = length of the field. With trees, FL < length of the field. If wind erosion is simulated for specific sites, FL, FW, and ANG can be measured easily. However, hypothetical sites are often used in long-term simulations associated with large-scale decision making. In such cases, values of FL, FW, and ANG should be chosen to represent typical field configurations of the area. Efforts to match field dimensions and drainage area are not necessary. The field dimensions are used only to estimate wind erosion, with the exception that FL is used to estimate water erosion from furrow irrigation. Thus, the simulation site may be a small area (1 ha) in a field of 1.0 by 0.5 km. It should be noted that the change in simulated wind erosion is not large for any FL > 0.3 km. Therefore, estimations of FL and FW are not usually critical for fields with areas greater than about 10 ha. When fields larger than 10 ha are strip cropped, however, the estimation of FW becomes more important. To evaluate the effect of strip cropping, FW is estimated as the average width of the strips. If FL is set to zero, a value of 0.632 is assigned by default. (Range: 0.001 to ∞)"
FW,"Field width (if wind erosion is to be considered) in kilometers: See variable FL for further information. If FW is set to zero, a value of 0.316 is assigned by default. (Range: 0.001 to ∞)"
ANG0,"Clockwise angle of field length from north (deg): It is used only if wind erosion is simulated. If ANG is known, enter the value in degrees. It can be left at zero if the simulation of wind erosion is not needed. (Range: 0 to 360)"
STD0,"Standing dead crop residue (Mg ha-1): Standing dead crop residue present at the beginning of the simulation. STD0 can be left at zero if unknown; however, year one will not have standing dead residue prior to crop growth. Crop residue will be present only after the first crop cycle. (Range: 0 to 1000)"
UXP,"Power parameter of modified exponential distribution of wind speed (if wind erosion is to be considered): The power parameter of the modified exponential wind speed distribution ranges from about 0.3 to about 0.7. A value of 0.50 usually gives satisfactory estimates of daily wind speed. UXP may be left at 0.0 if unknown, and it will be set to the default value of 0.50. (Range: 0 to 1)"
DIAM,"Soil particle diameter (micron μm): It is used only if wind erosion is simulated. Normally this value ranges from 300 to 500 µm (sands). DIAM may be left at 0.0 if unknown, and it will be set to its default value of 500.0. (Range: 100 to 500)"
ACW,"Wind erosion adjustment factor: The wind erosion adjustment factor is used along with PEC values to shut off or accelerate soil erosion. As with water erosion, wind erosion can be shut off by setting ACW = 0. If normal wind erosion calculation is desired, set ACW = 1. Also, AWC can be increased to a high level (e.g., ACW=10) as a shortcut in estimating wind erosion effects on the soil profile. Since ACW is related linearly to wind erosion, a 1000-year simulation can be approximated by a 100 years' simulation using ACW=10. (Range: 0 – 10), ACW = 0: No wind erosion, ACW = 1: Normal simulation, ACW > 1: Accelerates wind erosion (condenses time)"
BIR,"Water stress factor to trigger automatic irrigation: BIR is used to trigger automatic irrigation based on selected aspects during the simulation. BIR allows us to select different methods to activate the automatic irrigation considering aspects such as plant water stress or soil water content measured in different ways. The following scheme provides detailed information on how to set BIR to select the method and set the threshold to activate the automatic irrigation, BIR = 0: Only manual irrigation will be used during the simulation, BIR 0 – 1.0: Automatic irrigation based on plant water stress factor. The dimension (1 – BIR) equals the fraction of plant water stress allowed. Consequently, a low BIR allows high plant water stress before triggering automatic irrigation, BIR = 1.0: Does not allow water stress, BIR < 0.0: Automatic irrigation triggered by plant available water deficit in the root zone. Number is in mm and must be negative, BIR > 1.0: Automatic irrigation triggered by soil water tension in the top 200 mm of the soil profile. Absolute number is in kilopascals, BIR = -1000: Sets water deficit high enough that only manual irrigations will occur. Effectively turns auto irrigation off, NOTES: When BIR is set and used with a cropping system that includes more than one crop in rotation, the BIR will apply to all crops in the rotation, When using a BIR based on anything other than plant water stress (0-1), be aware that irrigation will be applied outside of the growing season if the soil water deficit or soil water tension reaches BIR. This will reduce the amount of water available for irrigation during the growing season."
EFI,"Runoff volume/Volume irrigation water applied: The irrigation runoff ratio specifies the fraction of each irrigation application that is lost to runoff. Soluble nutrient loss through runoff applies. Changes in soil slope do not affect this amount dynamically. EFI must be set accordingly, and the irrigation method should be considered. Set to 0 if IRR = 0 (dryland). (Range: 0 to 1)"
VIMX,"Maximum annual irrigation volume (mm): This is the maximum irrigation volume allowed each year in mm. If several crops are grown in one year, the first crop’s needs will be supplied as needed and any remaining water will be applied as needed to the next crop. If all of the water allocated by VIMX is used on the first crop, the second crop will not receive any irrigation. This also applies to manual irrigation. Once the amount of irrigation applied equals VIMX, then no additional irrigation will be applied, regardless of if it is manually or automatically applied."
ARMN,"Minimum single application volume (mm): This is the minimum amount of irrigation allowed for each auto irrigation application."
ARMX,"Maximum single application volume (mm): This is the maximum amount of irrigation allowed for each auto irrigation application in mm. This is the amount of irrigation water applied if rigid automatic irrigation is selected."
BFT0,"Nitrogen stress factor to trigger auto fertilization: The automatic fertilizer trigger functions like BIR for irrigation. When the plant nitrogen stress level reaches BFT0, nitrogen fertilizer may be applied automatically. If BFT0 is greater than 0, IDF0 must be the Number of the fertilizer selected for the automatic N application.The auto N fertilization can be activated as follows: BFT0 = 0.00 For manual fertilizer application. BFT0 0 – 1 Allows percentage of plant nitrogen stress with the dimension (1 – BFT) equals the fraction of nitrogen stress allowed. BFT0 = 1.00 No nitrogen stress allowed; auto-fertilization is triggered when needed. BFT0 > 1.00 If BFT0 is greater than 1, BFT0 is the ppm (g Mg-1) of nitrogen in soil at which automatic fertilization is triggered."
FNP,"Fertilizer application variable: FNP has two meanings: If the automatic fertilization is activated, a value greater than 1 will set the fixed amount of fertilizer applied with each automatic application. The value is input as kg ha-1. If irrigation from lagoon is selected (IRR = 4) FNP indicates the manure input to lagoon in kg/cow/day. If this option is used, the part for automatic fertilization is skipped. To use this option, variables RST0, FFED, VLGN, DDLG, COWW, and SOLQ (below in this section) must be provided."
FMX,"Maximum annual N fertilizer applied for a crop (kg ha-1): Maximum amount of nitrogen fertilizer available for application per plant (for annual plants) or per year (for perennial plants and trees). After FMX value has been met, no additional fertilizer will be applied. This variable can be overridden in the operation schedule where it can be set for each planting operation. Refer to section on the EPIC management file (filename.OPC) for further information on setting the maximum annual amount per crop. If FMX is set to zero it is default to 200. NOTE If this variable is set either in the control table file or in the operation schedule and manual fertilization is applied, the model will only apply up to this maximum amount regardless of the amount specified in the manual fertilization operation."
DRT,"Time requirement for drainage system to end plant stress in days: Artificial drainage systems may be very efficient and quickly reduce soil water content or it may take several days for the soil water level to decline sufficiently to eliminate aeration stress. The variable DRT is used to specify the time needed for the drainage system to eliminate stress. In this case time is measured in days. Enter 0 if drainage is not considered.(Range: 0 to 365)"
FDS0,"Furrow dike safety factor: Fraction of furrow dike volume available for water storage. FDS0 controls the volume of water that can be stored in the dike before water tops over the dike. This variable is used to account for uncertainty in the volume of the furrow dike. The volume is calculated from the height of the row, row interval (width of row), length of dike and height of dike. If these values are not very certain, it may be wise to set FDS0 to a low number which indicates that the certainty of dike design in not very high. This will cause the dikes to overflow much quicker, which will affect runoff and erosion. If the certainty of design of the dike is great, FDS0 can be set to 0.9 or higher, which will lessen dike overflow as well as runoff and erosion.(Range: 0 to 1)"
PEC0,"Erosion control practice factor: The erosion-control-practice factor normally ranges from about 0.1 to 0.9 depending upon the effectiveness of the conservation practice. Default = 1.0 for non-contoured fields. However, PEC can be set to 0.0 to eliminate water erosion entirely. At the other extreme, (PEC = 10.0) erosion rates are increased 10 times to improve long-term simulation efficiency. This feature is a big time-saver in estimating water erosion effects on soil properties over periods of up to 1000 years. Obviously, the 1000-year period can be approximated with a 100-year simulation using PEC = 10.0.(Range: 0 to 10)"
VLGN,"Lagoon volume ratio: Normal Lagoon Volume as a fraction of Maximum Lagoon Volume (Normal Lagoon Volume/Maximum lagoon volume). It is needed only when IRR = 4.(Range: 0 to 1)"
COWW,"Lagoon input from wash water (m3/cow/day): Needed only when IRR = 4 and owner has at least one head of livestock. Average normal value is 0.15.(Range: 0 to 1)"
DDLG,"Time to reduce lagoon storage from maximum to normal (number of days): Needed only when IRR = 4.(Range: 0 to 1)"
SOLQ,"Ratio liquid/total manure produced in this feedlot subarea: Fraction of total manure produced that goes into a lagoon as liquid. Needed only when IRR = 4.(Range: 0 to 1)"
GZLM,"Above ground plant material grazing limit (Mg ha-1): This is the minimum amount of biomass present in the field to allow grazing activity. The grazing activity stops when the above ground biomass goes below the threshold set with GZLM."
FFED,"Fraction of day (24 hours) that herd is in feeding area: This is the fraction of the day that herd is in the feeding area and not grazing on pasture.(Range: 0 to 1)"
DZ,"Layer thickness for solution of gas diffusion differential equation (m): This information is used only when the Cesar Izaurralde denitrification approaches (see IDN > 2 on line two of the EPIC control file) are selected by the user."
DRV,"Water erosion driving equation code: Specifies the equation used in simulating the water erosion process and interacts with all the EPIC components. In fact, EPIC simulates soil water erosion with all the methods available but only the results obtained with the methods selected by the user interact with the other components of the EPIC model. Allowed values:, 0 MUST – Modified MUSLE theoretical equation, 1 AOF - Onstad-Foster NOT AVAILABLE, 2 USLE - Universal Soil Loss Equation, 3 MUSS - Small Watershed MUSLE, 4 MUSL - Modified USLE, 5 MUSI - MUSLE with input parameters (see BUS(1)) NOT AVAILABLE, 6 RUSL – Revised Universal Loss Equation, 7 RUS2 – Modified Revised Universal Loss Equation"
RST0,"Base stocking rate (hectares per head): Indicates the number of hectares available per grazer"
STF0,"Fraction of storage interacting with nitrate leaching It defines the fraction of soil porosity that is considered in estimating nitrogen leaching. It is overwritten by values provided in the soil file (variable STRF).Default setting: 0.8 (Range: 0.05 to 1)"
COIR,"Cost of irrigation water ($ mm-1): Used for economic analysis, it is the cost per millimeter of water used for irrigation."
COL,"Cost of lime ($ Mg-1): Used for economic analysis, it is the cost per metric ton (1 megagram) of lime applied to the soil."
FULP,"Cost of fuel ($ L-1): Used for economic analysis, it is the cost per liter of fuel used to power machines in various management operations."
WAGE,"Cost of labor ($ h-1): Used for economic analysis, it is the cost for one hour of labor."
CSTZ1,"Miscellaneous cost ($ ha-1) First of two additional costs available to the user"
CSTZ2,"Miscellaneous cost ($ ha-1) Second of two additional costs available to the user"
