Variable_Code,Description,Min_Value,Max_Value,Unknown_Value,Data_Type,Allowed_Values,Source_File,Line,Field
XKN1,"Michaelis-Menten N2O reduction constant. If a value is provided here, this will overwrite the value read from the PARM1102.DAT file (see section on PARM1102.DAT for details).",,,,integer,,EPICRUN.DAT,1,11
CBVT,"Cumulative proportion of the BioVolume of spherical and cylindrical organisms. If a value is provided here, this will overwrite the value read from the PARM1102.DAT file (see section on PARM1102.DAT for details).",,,,integer,,EPICRUN.DAT,1,12
NBYR,"Number of Years for Simulation Duration The number of years can be any number from 1 to hundreds of years; however, 20 to 30 years may be adequate to estimate frequency distributions used to solve many problems. (Range: 1 to 999)",1,999,,integer,,EPICCONT.DAT,1,1
IYR0,"Beginning Year of Simulation If the starting year is before the first year of the historical weather data, ALL weather will be generated. Once the model starts generating weather, it continues until the end of the simulation. For example, if the historical weather data begins on Jan. 1, 1960, and the simulation begins on Jan. 1, 1956, then all the weather will be generated starting on Jan. 1, 1956, to the end of the simulation period. If the simulation period starts on a year included in the historical weather file, but the weather data does not extend for the complete simulation period, weather will be generated from the point the historical weather data ends to the end of the simulation period. For example, if the historical weather data begins on Jan. 1, 1960, and extends to Dec. 31, 2000, and the simulation period is from Jan. 1, 1996, to Dec. 31, 2005, then generated weather will be used beginning Jan. 1, 2001, and continue to the end of the simulation period (Dec. 31, 2005). (Range: 1880 to 9999)",1880,9999,,integer,,EPICCONT.DAT,1,2
IMO0,Beginning Month of Simulation Most long-term simulations start on January 1. Starting after January 1 may be convenient for simulating systems where data are only recorded during the growing season. (Range: 1 to 12),1,12,,integer,,EPICCONT.DAT,1,3
IDA0,Beginning Day of Simulation Most long-term simulations start on January 1. Starting after January 1 may be convenient for simulating systems where data are only recorded during the growing season. (Range: 1 to 31),1,31,,integer,,EPICCONT.DAT,1,4
IPD,"Print Code for Type of Output The print code (IPD) allows the user to print daily, monthly, or annual output, with or without printing tables describing soil conditions printed in the General Output File (OUT). Annual printouts minimize output volume and may be useful for some long-term simulations. Monthly outputs enable the user to evaluate model performance within the growing season or to examine seasonality of runoff, erosion, and other processes more closely than with annual printouts. Monthly outputs are normally obtained in short-term (1-10 year) simulations and are particularly useful in model testing. Daily outputs are also useful for model testing and for comparison with detailed experimental data. To obtain the desired type of output, IPD can be set to values from 0 to 9, as described below. Allowed values: N0 for annual watershed output N1 for annual printout N2 for annual with soil table N3 for monthly N4 for monthly with soil table N5 for monthly with soil table at harvest N6 for n day interval N7 for soil table only n day interval N8 for n day interval, rainfall days only N9 for n day interval during growing season For IPD 0 to 5, N = 0 prints management operation, N = 1 prevent printing management operation. For IPD 6 to 9, N = days interval to prints output in the OUT file. Management operations always printed.",,,,integer,0=annual watershed; 1=annual; 2=annual+soil table; 3=monthly; 4=monthly+soil table; 5=monthly+soil table at harvest; 6=n-day interval; 7=soil table n-day; 8=n-day rain days only; 9=n-day growing season,EPICCONT.DAT,1,5
NGN,"Input Code for Weather Variables EPIC can read one or more daily weather variables from an external file specified by the user. The weather input code, NGN, specifies which variables will be read; all others will be generated by APEX's stochastic weather data generator. If NGN is not set to zero, precipitation is read from the external file designated in the EPICRUN.DAT file. In addition to precipitation, any combination of the other daily weather variables can be read. The integers 1 through 5 are used to identify specific weather inputs that must be read from the selected daily weather file, as follows: 1 Precipitation 2 Maximum and minimum temperatures 3 Solar radiation 4 Average wind speed 5 Average relative humidity If any daily weather variables are input, precipitation must also be input. Thus, it is not necessary to specify ID=1 unless rain is the only input variable Example values of NGN are given below. NGN=0: Generate all weather variables (spatially distributed). NGN=1: Read precipitation; generate other variables. NGN=2: Read maximum and minimum temperatures and precipitation; generate other variables. NGN=3: Read solar radiation and precipitation; generate other variables. NGN=4: Read wind speed and precipitation; generate other variables. NGN=5: Read relative humidity and precipitation; generate other variables. NGN=23: Read maximum and minimum temperatures, solar radiation, and precipitation; generate wind speed and relative humidity. NGN=2345: Read all weather variables. NOTE: If weather data is not available for selected parameters, weather data is automatically generated. The model will use all available data for the selected parameters and generate when data for those select parameters is missing.",,,,integer,0=generate all weather; 1=read precip; 2=read temp+precip; 3=read solar+precip; 4=read wind+precip; 5=read RH+precip; 23=read temp+solar+precip; 2345=read all,EPICCONT.DAT,1,6
IGN,"Number of Times Random Number Generator Cycles Before Simulations Starts The random number generator is used to generate stochastically a series of daily weather data for input into other components of APEX. By changing IGN, the user can alter the sequence of generated weather data without changing its long-term statistical properties. Default setting: 0 (Range: 0 to 100) In some situations, a user may wish to vary the weather sequence between runs. This is done by setting IGN to a different number each time the model is run. Setting IGN to a value greater than zero will activate a random number generator, which will replace the default set of random numbers with a new set. The value to which IGN is set determines the number of times the random number generator cycles before the simulation begins. The seeds produced by the random number generator are then used by the weather generator instead of the default values. Historical weather data read into the model is not affected by this variable. However, if the historical weather data contains missing data, the weather generator will be used to generate data to replace the missing data. The generated data used to replace the missing data is affected by this variable. If IGN and the monthly weather statistics are not changed, successive simulations will have identical weather sequences.",0,100,0,integer,,EPICCONT.DAT,1,7
IGS0,"Day Weather Generator Stops Generating Daily Weather: This variable is used for real time simulations. When IGS0 is a negative integer, it indicates the total number of whole and partial years of input weather data. Normally, only a partial year (January 1 to planting date, for example) of measured weather data are used, thus IGS0 = -1. To estimate 20 alternative yield possibilities using input weather data for only part of a year, set NBYR to 20 and IGS0 to -1.(Range: -N to 366) 0 Normal operation of weather model N Duplicate weather in a given year up to date n -N Rewinds weather after n years 366 Gives a rough estimate of the average yield with only two years of simulation. IGS0 can also be used to simulate yield where the same weather data set is used many times. For example, if IGS0 is set to -3, this tells the model to reuse the three years of input weather data then rewind and use it again multiple times until NBYR is met",,,,integer,"0=Normal operation of weather model; N=Duplicate weather in a given year up to date n; -N=Rewinds weather after n years; 366=Gives a rough estimate of the average yield with only two years of
simulation.",EPICCONT.DAT,1,8
LPYR,"Leap Year Considered Allowed values: 0 Leap year is considered. 1 Leap year is ignored. Tells the model to expect only 365 days of input weather data and generate only 365 days of weather ignoring February 29th. ATTENTION: In this case, February 29th must be deleted from the weather input file.",,,,integer,0=leap year considered; 1=leap year ignored,EPICCONT.DAT,1,9
IET,"Potential Evapotranspiration Equation Approach This field enables the user to choose which equation will be used to estimate the potential evapotranspiration (PET). Allowed values: 0 *(default) Hargreaves 1 *Penman-Monteith (usually for windy conditions). Adds a logarithmic eddy diffusion function and canopy resistance to the Penman equations. This option works best when measure data for all the weather variables are available. 2 *Penman. Adds relative humidity, wind speed, and elevation of wind measurements to the required weather inputs. This option works best when measure data for all the weather variables are available. 3 Priestley-Taylor. Requires radiation, as well as temperature as an input. 4 Hargreaves. Has two parameters which can be adjusted to calibrate the model for factors such as proximity to a major water body. 5 Baier-Robertson. Developed in cold environment. * Requires the entry of elevation (ELEV), monthly mean wind velocities (WVL). These equations also need relative humidity; however, if relative humidity is blank, EPIC will estimate relative humidity. Dew point can also be used.",,,,integer,0=Hargreaves (default); 1=Penman-Monteith; 2=Penman; 3=Priestley-Taylor; 4=Hargreaves (adjustable); 5=Baier-Robertson,EPICCONT.DAT,1,10
ISCN,"Stochastic CN Estimator Code The final step in EPIC’s estimation of runoff volume is an attempt to account for uncertainty. The runoff retention parameter or curve number is based on land use, management, hydrologic soil group, land slope, soil water content and distribution. It is also adjusted for frozen soil. However, many natural processes and management factors that can affect runoff are not accounted for in the model. EPIC enables the user to use either a deterministic or a stochastic method of estimating CN. If the deterministic method is chosen, the curve number is adjusted daily for soil water content (and frozen soil). If the stochastic method is chosen, the deterministic value is varied stochastically on a daily basis using a triangular distribution. The extremes of the distribution are +/- 5 curve numbers from the mean.",,,,integer,0=stochastic CN (default); 1=deterministic CN,EPICCONT.DAT,1,11
ITYP,"Peak rate estimate code Types I and IA represent the Pacific maritime climate with wet winters and dry summers. Type III represents Gulf of Mexico and Atlantic coastal areas where tropical storms bring large 24-hour rainfall amounts. Type II represents the rest of the country. For more precise distribution boundaries in a state having more than one type, contact the SCS State Conservation Engineer (SCS 1986). Allowed values: 0 For modified rational EQ peak rate estimate >0 For SCS TR55 peak rate estimate 1 For type I rainfall pattern 2 For type IA rainfall pattern 3 For type II rainfall pattern 4 For type III rainfall pattern",,,,integer,0=modified rational EQ; 1=SCS TR55 type I; 2=SCS TR55 type IA; 3=SCS TR55 type II; 4=SCS TR55 type III,EPICCONT.DAT,1,12
ISTA,"Static soil profile This code is used to allow EPIC to estimate soil erosion but not change the soil profile other than readily available nutrients and water. With this option set at 1, the subroutines for the estimation of soil erosion are not called during the simulation and the soil characteristics related to the organic carbon and nitrogen content are set to the initial values at the end of each year. In this way, it is possible to simulate multiple years of weather on the same soil and estimate erosion under alternative weathers. Allowed values: 0 For normal erosion soil profile 1 For static soil profile",,,,integer,0=normal erosion soil profile; 1=static soil profile,EPICCONT.DAT,1,13
IHUS,"Automatic heat unit scheduling Based on potential heat units (PHU) In the first year of the run, all operations are assigned a heat unit fraction based on the total number of heat units input at planting and dates assigned to each operation. Calculation of heat units is based on monthly weather statistics. In the following years all operations will occur based on the heat unit schedule assigned to them. This can be used to help adjust operations to the weather (temperatures) from year to year. Operations occurring from planting to harvest are based on heat units set at planting. Operations occurring before planting are based on total annual heat units, which are calculated by the model. Allowed values: 0 Normal operation 1 Automatic heat unit schedule (Number of growing degree units needed for crop to reach maturity (PHU) must be input at planting)",,,,integer,0=normal operation; 1=automatic heat unit schedule,EPICCONT.DAT,1,14
IRRS,Simulation of root respiration Activates the simulation of root respiration in the denitrification subroutine NDNITCI. This option works only with the Cesar Izaurralde's denitrification method (IDN = 3 or IDN = 4). Allowed values: 0 Root respiration calculated in NDNITCI 1 Root respiration not considered in NDINITCI,,,,integer,0=root respiration calculated; 1=root respiration not considered,EPICCONT.DAT,1,15
NVCN,Non-varying CN-CN2 used Allowed values: 0 Variable daily CN nonlinear CN/SW with depth soil water weighting (Use Parm 81 to adjust) 1 Variable daily CN nonlinear CN/SW without depth weighting 2 Variable daily CN linear CN/SW no depth weighting 3 Non-varying CN – CN2 used for all storms 4 Variable daily CN SMI (soil moisture index),,,,integer,0=variable daily CN nonlinear with depth weighting; 1=variable daily CN nonlinear without depth weighting; 2=variable daily CN linear no depth weighting; 3=non-varying CN2; 4=variable daily CN SMI,EPICCONT.DAT,1,16
INFL0,"Runoff (Q) estimation methodology Allowed values: 0 CN estimate of Q 1 Green & Ampt (G&A) estimate of Q, Rainfall Exponential Distribution, Peak Rainfall Rate simulated 2 G&A estimate of Q, Rainfall Exponential Distribution, Peak Rainfall Input 3 G&A estimate of Q, Rainfall uniformly distributed, Peak RF Input",,,,integer,"0=CN estimate of Q; 1=G&A exponential dist, peak simulated; 2=G&A exponential dist, peak input; 3=G&A uniform dist, peak input",EPICCONT.DAT,1,17
MASP,"Pesticide in output report Allowed values: -1 For mass only no pesticide in .OUT file 0 For mass only, pesticides in .OUT file 1 For pesticide and nutrient output in mass and concentration",,,,integer,-1=mass only no pesticide in OUT; 0=mass only pesticide in OUT; 1=pesticide and nutrient mass and concentration,EPICCONT.DAT,1,18
LBP,Soluble phosphorus runoff estimate equation Allowed values: 0 For soluble phosphorus runoff estimate using GLEAMS pesticide equation 1 For modified nonlinear approach,,,,integer,0=GLEAMS pesticide equation; 1=modified nonlinear approach,EPICCONT.DAT,1,19
NSTP,"Real time day of year (Columns 77-80) Day of year selected to be the stopping point up until which weather, crop growth, etc. are known. The remainder of the year is projected. (Range: 0 to 365)",0,365,,integer,,EPICCONT.DAT,1,20
IGMX,Number of times generator seeds are initialized for a site (Range: 1 to 100),1,100,,integer,,EPICCONT.DAT,2,1
IERT,Enrichment Ratio Method Sets the method to simulate organic material lost in runoff. Allowed values: 0 EPIC enrichment ratio method 1 GLEAMS enrichment ratio method,,,,integer,0=EPIC enrichment ratio; 1=GLEAMS enrichment ratio,EPICCONT.DAT,2,2
ICG,"Crop growth biomass conversion method Allowed values: 0 Traditional EPIC radiation to biomass conversion 1 New experimental water-use to biomass conversion NOTE: If the water use to biomass approach is selected, value for variable WUB in EPIC in plant list file (CROPCOM.DAT) must be provided.",,,,integer,0=traditional EPIC radiation to biomass; 1=water-use to biomass conversion,EPICCONT.DAT,2,3
LMS,"Code for liming operation EPIC enables the user to simulate application of agricultural limestone to increase soil pH and/or reduce soil aluminum saturation. For many soils and applications of EPIC, this feature is not needed; therefore, it can be turned off by setting LMS to 1. Long term simulations with noncalcareous soils and either nitrogen fertilizer or nitrogen-fixing legumes often requires liming to prevent acidification of the soil and reduction of crop growth. Allowed values: 0 For automatic lime application as needed to prevent acidification of the soil 1 No lime applied",,,,integer,0=automatic lime application; 1=no lime applied,EPICCONT.DAT,2,4
ICF,C factor selector for erosion equation Allowed values: 0 To use RUSLE C factor for all erosion equations 1 To use EPIC C factor for all erosion equations except RUSLE,,,,integer,0=RUSLE C factor for all equations; 1=EPIC C factor for all except RUSLE,EPICCONT.DAT,2,5
ISW,"Field capacity and wilting point estimation method ISW allows the user to select the method used to provide values for the soil water content at field capacity (FC) and wilting point (WP). Allowed values: 0 Dynamic FC and WP estimated with Rawls method. 1 Dynamic FC and WP estimated with Baumer method. 2 Dynamic FC and WP estimated with Rawls method starting with input data. FC and WP data must be provided in the soil file. 3 Dynamic FC and WP estimated with Baumer method starting with input data. FC and WP data must be provided in the soil file. 4 Static FC and WP estimated with Rawls method. FC and WP are estimated and kept constant for the entire simulation. 5 Static FC and WP estimated with Baumer method. FC and WP are estimated and kept constant for the entire simulation. 6 Static input FC and WP. Data provided in the soil files are kept constant for the entire simulation. 7 Dynamic FC and WP estimated with the nearest neighbor method. The input file SOIL35K.DAT must be provided. 8 Static FC and WP estimated with the nearest neighbor method. FC and WP are estimated and kept constant for the entire simulation. The input file SOIL35K.DAT must be provided. 9 Dynamic FC and WP estimated with the Behrman-Norfleet-Williams (BNW) method (Behrman, Norfleet, & Williams, 2016). 10 Static FC and WP estimated with the Behrman-Norfleet-Williams (BNW) method. FC and WP are estimated and kept constant for the entire simulation (Behrman et al., 2016).",,,,integer,0=dynamic FC/WP Rawls; 1=dynamic FC/WP Baumer; 2=dynamic Rawls from input; 3=dynamic Baumer from input; 4=static Rawls; 5=static Baumer; 6=static input FC/WP; 7=dynamic nearest neighbor; 8=static nearest neighbor; 9=dynamic BNW; 10=static BNW,EPICCONT.DAT,2,6
IRW,"Daily weather data usage option When set to zero, the model uses the daily weather input data as usual. If set to one, the model will use the weather station set in the first run for all the subsequent runs. Moreover, when going from one run to the next one, the weather data will be read continuously. For example, if for run 1 the user selects 2 years of simulation starting in 2001, the model will use weather data of the appropriate weather station (let's call it station A). Data from 2001 for the first year and data from 2002 for the second year of simulation. If the subsequent run simulates a two-year period, data from station A will be used for this simulation and data from 2003 will be used for the first year of simulation and from 2004 for the second year of simulation.Allowed values: 0 For normal runs with daily weather input, 1 For continuous daily weather from run to run (no rewind)",,,,integer,0=normal daily weather; 1=continuous daily weather run to run,EPICCONT.DAT,2,7
ICO2,Atmospheric CO2 concentration ICO2 allows to set the dynamic of the atmospheric CO2 concentration during the simulation. Allowed values: 0 For constant atmospheric CO2 concentration. CO2 concentration must be provided with variable CO20 or variable CO2X. 1 For dynamic atmospheric CO2 concentration. The initial CO2 concentration is calculated by EPIC and is increased linearly during the simulation. 2 For inputting the atmospheric CO2 concentration in the daily weather file. See the daily weather file section for more details.,,,,integer,0=constant CO2; 1=dynamic CO2 linear increase; 2=CO2 input in daily weather file,EPICCONT.DAT,2,8
NTV,Nitrogen volatilization method NTV allows to select the method used to simulate nitrogen volatilization. Allowed values: 0 Original EPIC nitrogen volatilization equations 1 Revised nitrogen volatilization equations by C. Izaurralde,,,,integer,0=original EPIC N volatilization; 1=revised Izaurralde N volatilization,EPICCONT.DAT,2,9
ICOR,"Southern oscillation correction If greater than zero, it sets the day of the year when the weather correction to simulate input monthly average values stops. Works only if multi-run option is activated. When activated, the values for temperature and precipitation in the WP1 file are corrected using the observed daily weather data used during the simulation. (Range: 0 – 365) 0 Normal run – no southern oscillation >0 Day of the year when southern oscillation correction to simulate input monthly means stops",0,365,,integer,,EPICCONT.DAT,2,10
IDN,"Denitrification method code Selects the approach used to simulate the denitrification process. Allowed values: 1 Original EPIC denitrification approach 2 Armen Kemanian's denitrification approach 3 Cesar Izaurralde's denitrification approach (original DW) (R. C. Izaurralde et al., 2017) 4 Cesar Izaurralde's denitrification approach (new DW) (R. C. Izaurralde et al., 2017)",,,,integer,1=original EPIC; 2=Kemanian; 3=Izaurralde original DW; 4=Izaurralde new DW,EPICCONT.DAT,2,11
NUPC,Nitrogen and Phosphorus plant uptake concentration code Selects the approach used to estimate the optimal N and P plant concentration. Allowed values: 0 Smith curve 1 S-curve,,,,integer,0=Smith curve; 1=S-curve,EPICCONT.DAT,2,12
IOX,Oxygen – depth function code Selects the method used to estimate the oxygen concentration in the soil. Allowed values: 0 For original EPIC oxygen/depth function 1 For Armen Kemanian's carbon/clay function 2 For new oxygen ratio method,,,,integer,0=original EPIC oxygen/depth; 1=Kemanian carbon/clay; 2=new oxygen ratio,EPICCONT.DAT,2,13
IDI0,Data directory Selects from where to read the input data. Allowed values: 0 For reading data from the working directory 1 For reading data from weather directory 2 For reading data from working directory plus 3 other directories.,,,,integer,0=read from working directory; 1=read from weather directory; 2=read from working + 3 other directories,EPICCONT.DAT,2,14
ISAT,Saturated conductivity code ISAT allows the user to select if the soil saturated conductivity is provided in the soil file or if it must be estimated by the model. Allowed values: 0 For reading saturated conductivity from the soil profile data 1 For computing saturated conductivity with Rawls method,,,,integer,0=read saturated conductivity from soil; 1=compute with Rawls method,EPICCONT.DAT,2,15
IAZM,Latitude source code Allowed values: 0 For using input latitude for the field 1 For computing equivalent latitude based on azimuth orientation of land slope,,,,integer,0=use input latitude; 1=compute equivalent latitude from azimuth,EPICCONT.DAT,2,16
IPAT,Auto phosphorus fertilization code Turn on or off the automatic application of P. Allowed values: 0 Turn off auto-phosphorus fertilization 1 Turns auto-phosphorus fertilization on,,,,integer,0=auto-P off; 1=auto-P on,EPICCONT.DAT,2,17
IEVI,"Photosynthetic Active Radiation (PAR) estimation approach IEVI is used to select how the PAR is estimated during the simulation. Allowed values: 0 PAR driven by crop LAI development. 1 PAR driven by EVI from remote sensing. If IEVI is set equal to one, vegetation index (EVI) obtained from remote sensing must be input in the daily output file as eighth variable.",,,,integer,0=PAR driven by crop LAI; 1=PAR driven by EVI from remote sensing,EPICCONT.DAT,2,18
IPRK,"Soil water percolation method IPRK allows the user to select the method to estimate the soil water percolation during the simulation. Allowed values: 0 For original EPIC approach. 1 For Variable Saturation Hydraulic Conductivity (VSHC) method (Doro et al., 2018)",,,,integer,0=original EPIC percolation; 1=VSHC method,EPICCONT.DAT,2,19
ICP,"Carbon/Nitrogen Mineralization Method Selects the method used to simulate the soil organic carbon and nitrogen dynamics. Allowed values: 0 For the Phoenix approach (McGill, Hunt, Woodmansee, & Reuss, 1981) 1 For the Century approach (R. Izaurralde, Williams, McGill, Rosenberg, & Jakas, 2006)",,,,integer,0=Phoenix approach; 1=Century approach,EPICCONT.DAT,2,20
ISLT,"Soil temperature simulation method Selects the approach used to simulate the soil temperature. For more information see (Doro et al., 2021) Allowed values: 0 For original EPIC cosine function (SOLT subroutine) 1 For enhanced cosine function (subroutine SOLT_eCOS) 2 For temperature transfer approach (subroutine SOLT_TT)",,,,integer,0=original cosine function; 1=enhanced cosine function; 2=temperature transfer approach,EPICCONT.DAT,2,21
RFN0,"Average concentration of nitrogen in rainfall (ppm) The average concentration of N in rainfall may vary slightly for different locations. However, since the rainfall N contribution is a relatively small component of the N cycle, a value of 0.8 ppm or mg N/liter is generally satisfactory. If site-specific information is available, the user is free to set the value appropriately. (Range: 0.50 to 1.50)",0.5,1.5,,real,,EPICCONT.DAT,3,1
CO20,Carbon dioxide concentration in atmosphere (ppm) The amount of carbon dioxide in the atmosphere (ppm) used to begin the simulation. See variable ICO2 for atmospheric CO2 concentration options. (Range: 0 to 1000),0,1000,,real,,EPICCONT.DAT,3,2
CNO30,Concentration of NO3-N in irrigation water (ppm) The amount of mineral nitrogen in irrigation water. (Range: 0 to 1000),0,1000,,real,,EPICCONT.DAT,3,3
CSLT,"Salt concentration in irrigation water (ppm) The amount of salt in irrigation water. For reference, the irrigation water is classified as low salinity (0-456 ppm), moderately salty (456-1425 ppm), salty (1425-2850 ppm), and very salty (>2850 ppm). (Range: 0 –  ?)",0,Inf,,real,,EPICCONT.DAT,3,4
PSTX,"Pest damage scaling factor The factor scales the growth of pests (insects and diseases only) in terms of population growth. It ranges from 0 (no pest growth; pest damage function is shut off) to 10 (maximum pest growth). Under default conditions this parameter is set to 1.00 which produces only minimal pest growth and does not affect yield. This parameter works in conjunction with PARM(9), PARM(10), S-curve parameter 9 in the EPIC parameter file (PARM1102.DAT), and variable PST in the EPIC plant list file (CROPCOM.DAT). Pest damage function can be regulated from very mild (0.05-0.10) to very severe (1.00-10.00). (Range: 0 to 10)",0,10,,real,,EPICCONT.DAT,3,5
YWI,Number years of maximum monthly 0.5-hour rainfall available Can be obtained from the U.S. Department of Commerce (0 if WI is not imputed). Default setting: 10 (Range: 0 to 20),0,20,10,real,,EPICCONT.DAT,3,6
BTA,"Coefficient governing wet-dry probabilities given days of rain Used to estimate wet-dry rainfall probabilities if information is only available for the average monthly number of wet days. Generally, the number of wet days is much more readily available than the wet-dry rainfall probabilities. A value of 0.75 for BTA usually gives satisfactory estimates of the wet-dry probabilities. May be left zero if daily rainfall is inputted. May be left zero if rainfall is generated and wet-dry probabilities are input. Default setting: 0.75 (Range: 0 to 1)",0,1,0.75,real,,EPICCONT.DAT,3,7
EXPK,Parameter used to modify exponential rainfall amount distribution The modified exponential distribution is used to generate rainfall amounts if the standard deviation and skew coefficient are not available. An EXPK value of 1.3 gives satisfactory results in many locations. May be left 0.0 if unknown or if standard deviation of rainfall and skew coefficient for daily precipitation are input. Default setting: 1.3 (Range: 0 to 2),0,2,1.3,real,,EPICCONT.DAT,3,8
FL,"Field length (if wind erosion is to be considered) in kilometers If the normal wind erosion calculation is to be utilized (Wind Erosion Adjustment Factor (ACW) = 1), field dimensions and orientation must be specified. This variable refers to the length of the field that is exposed to the wind. Without trees, FL = length of the field. With trees, FL < length of the field. If wind erosion is simulated for specific sites, FL, FW, and ANG can be measured easily. However, hypothetical sites are often used in long-term simulations associated with large- scale decision making. In such cases, values of FL, FW, and ANG should be chosen to represent typical field configurations of the area. Efforts to match field dimensions and drainage area are not necessary. The field dimensions are used only to estimate wind erosion, with the exception that FL is used to estimate water erosion from furrow irrigation. Thus, the simulation site may be a small area (1 ha) in a field of 1.0 by 0.5 km. It should be noted that the change in simulated wind erosion is not large for any FL > 0. 3 km. Therefore, estimations of FL and FW are not usually critical for fields with areas greater than about 10 ha. When fields larger than 10 ha are strip cropped, however, the estimation of FW becomes more important. To evaluate the effect of strip cropping, FW is estimated as the average width of the strips. If FL is set to zero, a value of 0.632 is assigned by default. (Range:0.001 to  ?)",0.001,Inf,0.632,real,,EPICCONT.DAT,3,9
FW,"Field width (if wind erosion is to be considered) in kilometers See variable FL for further information. If FW is set to zero, a value of 0.316 is assigned by default. (Range: 0.001 to  ?)",0.001,Inf,0.316,real,,EPICCONT.DAT,3,10
ANG0,"Clockwise angle of field length from north (deg) It is used only if wind erosion is simulated. If ANG is known, enter the value in degrees. It can be left at zero if the simulation of wind erosion is not needed. (Range: 0 to 360)",0,360,0,real,,EPICCONT.DAT,4,1
STD0,"Standing dead crop residue (Mg ha-1) Standing dead crop residue present at the beginning of the simulation. STD0 can be left at zero if unknown, however, year one will not have standing dead residue prior to crop growth. Crop residue will be present only after the first crop cycle. (Range: 0 to 1000)",0,1000,,real,,EPICCONT.DAT,4,2
UXP,"Power parameter of modified exponential distribution of wind speed (if wind erosion is to be considered) The power parameter of the modified exponential wind speed distribution ranges from about 0.3 to about 0.7. A value of 0.50 usually gives satisfactory estimates of daily wind speed. UXP may be left at 0.0 if unknown, and it will be set to the default value of 0.50. (Range: 0 to 1)",0,1,0,real,,EPICCONT.DAT,4,3
DIAM,Soil particle diameter (micron  µm) It is used only if wind erosion is simulated. Normally this value ranges from 300 to 500  µm (sands). DIAM may be left at 0.0 if unknown and it will be set to its default value of 500.0. (Range: 100 to 500),100,500,,real,,EPICCONT.DAT,4,4
ACW,"Wind erosion adjustment factor: The wind erosion adjustment factor is used along with PEC values to shut off or accelerate soil erosion. As with water erosion, wind erosion can be shut off by setting ACW = 0. If normal wind erosion calculation is desired, set ACW = 1. Also, AWC can be increased to a high level (e.g., ACW=10) as a shortcut in estimating wind erosion effects on the soil profile. Since ACW is related linearly to wind erosion, a 1000-year simulation can be approximated by a 100 years' simulation using ACW=10. (Range: 0 – 10), ACW = 0: No wind erosion, ACW = 1: Normal simulation, ACW > 1: Accelerates wind erosion (condenses time)",0,10,,real,,EPICCONT.DAT,4,5
